tokenAddress,CollectionName,Symbol,TokenStandard,TotalSupply,AveragePriceRecent,FloorPriceRecent,RecentTradesCollected,ContractAddress,Chain
0x9a534628b4062e123ce7ee2222ec20b86e16ca8f,MekaVerse,MEKA,ERC721,,3.89856e+16,2.02e+16,10.0,,
0x7881c3a8d4a8d8a5d6b648164de823142d8aaf5d,ColorLines,CL,ERC1155,,4e+19,4e+19,10.0,,
0xbd4455da5929d5639ee098abfaa3241e9ae111af,NFT Worlds,NFT Worlds,ERC721,,5.331056364023016e+17,2.1e+16,10.0,,
0xc36cf0cfcb5d905b8b513860db0cfe63f6cf9f5c,,,ERC1155,,6113529710144000.0,2898550720000.0,10.0,,
0x86825dfca7a6224cfbd2da48e85df2fc3aa7c4b1,,,ERC1155,,2.63564e+16,8341500000000000.0,10.0,,
0x4db1f25d3d98600140dfc18deb7515be5bd293af,HAPE PRIME,HAPE,ERC721,,6.885028e+16,5.75e+16,10.0,,
0xd3d9ddd0cf0a5f0bfb8f7fceae075df687eaebab,TEST NFT,TEST,ERC721,,3.898887e+17,3.7e+17,10.0,,
0x6339e5e072086621540d0362c4e3cea0d643e114,Opepen Edition,OPEPEN,ERC721,,5.44747e+17,2.4718e+17,10.0,,
0xd07dc4262bcdbf85190c01c996b4c06a461d2430,Rarible,RARI,ERC1155,,3622320000000000.0,1000000000000.0,10.0,,
0x28472a58a490c5e09a238847f66a68a47cc76f0f,adidas Originals: Into the Metaverse,ADI,ERC1155,,2.1222388e+16,1.19595e+16,10.0,,
0x160c404b2b49cbc3240055ceaee026df1e8497a0,projectPXN,GHOST,ERC721,,7338150000010000.0,100000.0,10.0,,
0x341a1c534248966c4b6afad165b98daed4b964ef,Murakami.Flowers Seed,SEED,ERC1155,,6.29744040004e+17,4e+17,10.0,,
0x82c7a8f707110f5fbb16184a5933e9f78a34c6ab,Emblem Vault V4,Emblem.pro,ERC721,,1.45694444444e+17,2500000000000000.0,10.0,,
0x4ba0be4d8d83b5ca9935d0e0284f707e8f2dd6d1,Metaligence,,ERC1155,,3.2e+19,3.2e+19,10.0,,
0x348fc118bcc65a92dc033a951af153d14d945312,,,ERC1155,,2.5449587999958282e+17,2.146e+17,10.0,,
0x59468516a8259058bad1ca5f8f4bff190d30e066,Invisible Friends,INVSBLE,ERC721,,1.0303295e+17,8.95e+16,10.0,,
0xccc441ac31f02cd96c153db6fd5fe0a2f4e6a68d,FLUF,FLUF,ERC721,,1.4519321e+17,1.29e+17,10.0,,
0xd2f668a8461d6761115daf8aeb3cdf5f40c532c6,Karafuru,KARAFURU,ERC721,,6.50693e+16,2.61e+16,10.0,,
0x73da73ef3a6982109c4d5bdb0db9dd3e3783f313,,,ERC1155,,2.28295e+17,8.72e+16,10.0,,
0x282bdd42f4eb70e7a9d9f40c8fea0825b7f68c5d,V1 Cryptopunks (Wrapped),WPV1,ERC721,,2.63343999e+18,2.1189999e+18,10.0,,
0xc92ceddfb8dd984a89fb494c376f9a48b999aafc,Creature World,CREATURE,ERC721,,2.276745e+16,1.9296e+16,10.0,,
0x39ee2c7b3cb80254225884ca001f57118c8f21b6,Potatoz,Potatoz,ERC721,,1.8729299e+17,1.5e+17,10.0,,
0x32973908faee0bf825a343000fe412ebe56f802a,Pixelmon,PXLMN,ERC721,,1.7913364e+17,7e+16,10.0,,
0x764aeebcf425d56800ef2c84f2578689415a2daa,SewerPass,SEWER,ERC721,,6449500000000000.0,2000000000000000.0,10.0,,
0xbce3781ae7ca1a5e050bd9c4c77369867ebc307e,goblintown,GOBLIN,ERC721,,7.584e+16,800000000000000.0,10.0,,
0x0c2e57efddba8c768147d1fdf9176a0a6ebd5d83,KaijuKingz,KAIJU,ERC721,,5.98688e+16,3.87e+16,10.0,,
0x364c828ee171616a39897688a831c2499ad972ec,Sappy Seals,SAPS,ERC721,,3.8077549e+17,3.67e+17,10.0,,
0x7ea3cca10668b8346aec0bf1844a49e995527c8b,CyberKongz VX,KONGZ VX,ERC721,,4.066e+16,3e+16,10.0,,
0x67d9417c9c3c250f61a83c7e8658dac487b56b09,Phanta Bear,PHB,ERC721,,6.5018999999999e+16,2.71e+16,10.0,,
0x34eebee6942d8def3c125458d1a86e0a897fd6f9,Checks,CHECKS,ERC721,,5.3910949e+17,4.21095e+17,10.0,,
0x892848074ddea461a15f337250da3ce55580ca85,CyberBrokers,CYBERBROKERS,ERC721,,8.647025e+16,6.16065e+16,10.0,,
0x8943c7bac1914c9a7aba750bf2b6b09fd21037e0,Lazy Lions,LION,ERC721,,7.12148e+16,6.24105e+16,10.0,,
0x6632a9d63e142f17a668064d41a21193b49b41a0,Prime Ape Planet,PAP,ERC721,,2846500000000000.0,100000000000000.0,10.0,,
0x2acab3dea77832c09420663b0e1cb386031ba17b,DeadFellaz,DEADFELLAZ,ERC721,,1.0292988e+17,8.81e+16,10.0,,
0xb4d06d46a8285f4ec79fd294f78a881799d8ced9,3Landers,3L,ERC721,,1.873e+16,1.0,10.0,,
0x5cc5b05a8a13e3fbdb0bb9fccd98d38e50f90c38,Sandbox's LANDs,LAND,ERC721,,9.02e+16,6.51e+16,10.0,,
0xf4ee95274741437636e748ddac70818b4ed7d043,The Doge Pound,DOGGY,ERC721,,6.365735e+16,3.10545e+16,10.0,,
0x86c10d10eca1fca9daf87a279abccabe0063f247,Cool Pets,PETS,ERC721,,1.251415e+16,1.1999e+16,10.0,,
0xf61f24c2d93bf2de187546b14425bf631f28d6dc,World Of Women Galaxy,WOWG,ERC721,,3.713625e+16,3e+16,10.0,,
0x05a46f1e545526fb803ff974c790acea34d1f2d6,n,N,ERC721,,5780000000000000.0,3300000000000000.0,10.0,,
0x123b30e25973fecd8354dd5f41cc45a3065ef88c,ALIENFRENS,ALIENFRENS,ERC721,,4.83491e+16,3.94e+16,10.0,,
0xbc578ecca2115dac0c93c08674edc0c7d01fe09c,InvisibleSociety,IS,ERC721,,1.7954e+16,220000000000000.0,10.0,,
